LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea,smiles,codeName
130.540238246,11.5917456108,0.4776386222,11.5917456108,0.335232964009,0.137769038171,0.335232964009,-1.0213738034,-0.4776386222,3.85512,86.711,313.74,2,4,0,0,0,2,1,3,2,2,5,2,0,0,0,110,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CC1=CC(=O)Nc2c1ccc(c2)c3ccc(cc3Cl)C(=O)O,BillNye-HendrikAntoonLorentz
142.083754942,5.5880754873,0.37766089364,5.5880754873,0.135661727391,0.661578256677,0.135661727391,0.661578256677,-0.37766089364,3.1235,101.4621,321.428,3,5,0,0,0,1,2,3,5,2,5,6,0,0,0,124,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,CN(C)c1ccc(cc1)c2cc3c(cccn3)c(n2)NCCCN,WalterSchottky-AlbertEinstein
181.385835051,12.3672115247,0.481229255783,12.3672115247,0.325721200594,0.0196456257255,0.325721200594,-1.29786950809,-0.481229255783,1.0714,114.9376,442.432,7,12,0,0,0,1,2,3,9,5,12,9,0,0,0,168,2,0,0,2,0,2,0,0,2,2,3,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C[N@](Cc1coc2c1c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,PierreDuhem-GeorgOhm
176.265463936,12.7653628109,0.507603508102,12.7653628109,0.250376704685,0.0188830316579,0.250376704685,-3.8738956265,-0.507603508102,1.36537,112.8864,445.526,5,9,0,1,1,1,2,3,7,4,11,6,0,1,1,156,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,c1cc2c(cc(s2)S(=O)(=O)N[C@H]3CCN(C3=O)Cc4cc(ccc4O)C(=N)N)nc1,WilliamHarvey-AndersCelsius
164.564113686,12.9749114292,0.443688335497,12.9749114292,0.409819144017,0.0734924868835,0.409819144017,-0.468412869217,-0.443688335497,3.34442,106.2082,384.48,1,7,0,2,2,1,1,2,4,1,7,1,0,2,2,150,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cc1cc(cc2c1[nH]nc2)C(=O)N3CCC4(CC3)CN(C4)C(=O)OC(C)(C)C,BenjaminCabrera-ArthurEddington
175.068985964,12.5362032437,0.493299349342,12.5362032437,0.192525536899,0.0311972135809,0.192525536899,0.0311972135809,-0.493299349342,5.3454,115.9005,440.381,0,3,2,0,2,2,0,2,3,0,4,10,2,0,2,146,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C=CC[N@@](C[C@H]1C[C@@H]1COc2ccc(cc2)C(=O)c3ccc(cc3)Br)C4CC4,JHansDJensen-LouisdeBroglie
133.588900612,12.1826412737,0.481221926934,12.1826412737,0.30317911968,0.0960955232772,0.30317911968,-0.811108659258,-0.481221926934,3.14144,89.1662,310.353,3,5,0,1,1,1,1,2,2,3,5,4,0,0,0,118,1,0,0,0,0,1,1,0,1,1,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cc1c(c([nH]c1/C=C\2/c3ccccc3NC2=O)C)CCC(=O)O,HenryMoseley-ErnstIsing
180.259786727,12.6965930232,0.492703839138,12.6965930232,0.229708016548,0.0518456352416,0.229708016548,-0.376340702948,-0.492703839138,2.7815,117.4137,431.51,1,7,1,0,1,2,0,2,7,2,8,6,0,0,0,160,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COc1cc2c(c(c1OC)OC)C3=CC=C(C(=O)C=C3[C@H](CC2)NC(=O)CS)OC,CharlesSherringto-IsaacNewton
141.678420206,5.92932874925,0.381659329351,5.92932874925,0.17956014974,0.406375031494,0.17956014974,0.406375031494,-0.381659329351,2.9168,95.7181,327.351,3,7,0,0,0,1,4,5,6,2,7,2,0,0,0,120,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,c1ccc(cc1)c2c(c3ccccn3n2)c4cc5c(n[nH]c5nn4)N,NikolaTesla-JJThomson
190.631761222,12.020077205,0.312608648601,12.020077205,0.258253931491,0.175467901807,0.258253931491,-0.175467901807,-0.312608648601,3.6544,125.3047,448.958,1,7,0,1,1,1,3,4,6,1,8,6,0,1,1,164,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,c1cc(ccc1CC2CCN(CC2)CCc3cnn(c3)c4c5c(ccn4)C(=O)NC=N5)Cl,WernerHeisenberg-BenjaminFranklin
